"Thématiques","Critères","Évaluation"
"4","12","c|le service ne comprend pas de fonctionnalités ayant un impact environnemental significatif. Mis à part Altcha (voir 2.10). ALTCHA utilise un mécanisme appelé Preuve de Travail (PoW) pour authentifier et valider les interactions des utilisateurs. Le PoW exige un effort de calcul considérable de l’appareil de l’utilisateur pour valider les demandes. L‘impact d‘Altcha n‘a pas été mesuré."
"4","13","c|Parmi les services numériques de l'écosystème Iroco qui génèrent des notifications, seul l'e-mail et Mattermost sont susceptible de générer des notifications.  La configuration des notifications e-mail est déléguée aux clients e-mail et calendrier.  Les clients Mattermost permettent aux utilisateurs de les désactiver.  Les infolettres sont gérées par Mailjet qui permet aux adhérents de se désinscrire."
"4","14","c|https://app.iroco.co : Un lien de désabonnement au service est clairement visible sur la page de bienvenue. En cliquant dessus, il est expliqué clairement comment et quand les données sont supprimées et comment les récupérer.  Infolettre : Mailjet propose un lien de désinscription standard.  Choix de s'exclure du tracking mailjet est 'opt-out' : https://iroco.co/faq#cookies"
"4","15","nc|Le critère est validé si le service numérique respecte les conditions cumulatives suivantes : ❌ Le service affiche sur son interface une information à destination des utilisateurs sur l’empreinte environnementale de l’usage du service. ✅ Le service numérique propose un mode d’affichage et d’usage sobre, par défaut N/A ou dont l’activation est laissée à la discrétion de l’utilisateur, pour diminuer l’empreinte environnementale associée à son usage.  ❌L’utilisateur pourra avoir accès à une information détaillant les paramètres de ce mode « sobriété énergétique » et les gains environnementaux associés. Documenter les actions mises en place dans la déclaration d’écoconception, en particulier l’information environnementale délivrée à l’utilisateur et le paramétrage du mode de « sobriété énergétique », y compris les gains environnementaux associés. Des articles de blog décrivent les actions en place, de la construction de nos services :  - https://blog.iroco.co/frontend-benchmark/ - https://blog.iroco.co/benchs_sveltekit_pyramid/ - https://blog.iroco.co/frontend-benchmark_vue_svelte/ - https://blog.iroco.co/frontend-benchmark_vue_react/ - https://blog.iroco.co/tir-raspberry/ - https://blog.iroco.co/tir-laptop/ - https://blog.iroco.co/frontend-benchmark/ - "
"5","1","nt|https://iroco.co : utilisation exclusivement de SVG. Une analyse Lighthouse montre qu'une image png a une taille de width='2005' height='1080' mais est affichée en width='465.91'  height='250.95' (une économie de 304 Kb est possible en réduisant la taille de cette image).  https://rezofora.co : utilisation de SVG pour infographie (générée par draw.io, elle contient les métadonnées permettant l'import/export de/vers draw.io qui pourraient être retirées lors de la génération du site statique). Utilisation de JPG pour les photos de membres de l'équipe (360x360 px). Une analyse Lighthouse montre qu'avec des formats next-gen, 	la taille de l'ensemble des photos des membres de l'équipe, pourrait passer de 150.2 KiB à 92.2 KiB. Un logo de partenaires (AGIT) en png."
"5","2","nc|Je ne suis pas sur que le critère Lighthouse 'Efficiently encode images'  suffise à la conformité de ce critère RGESN. le critère Lighthouse 'Efficiently encode images' est passant pour - https://iroco.co - https://app.iroco.co - https://rezofora.co"
"5","3","nc|Il y a des vidéos dans le blog servies sur Vimeo (https://blog.iroco.co/benchs_sveltekit_pyramid/) servies par défaut en 540p même si le format de la vidéo peut monter à 1080p). Mode « sobriété énergétique » : ❌ Smartphone : 480p maximum"
"5","6","nt"
"5","7","nt"
"5","8","nt"
"6","1","nt"
"6","2","nt"
"6","3","nt"
"6","4","nt"
"6","5","nt"
"6","6","nt"
"6","7","nt"
"7","1","nt"
"7","2","nt"
"7","3","nt"
"7","4","nt"
"8","1","nt"
"8","2","nt"
"8","3","nt"
"8","4","nt"
"8","5","nt"
"8","6","nt"
"8","7","c|https://www.eolas.fr/64-datacenters.htm. “Efficacité énergétique mesurée (PUE - Power Usage Effectiveness) est inférieur à 1,30. ” “Avec ces datacenters, EOLAS s’engage sur les axes de l’efficience énergétique, la gestion de la chaleur et la non-consommation d’eau. Ces derniers sont alimentés en électricité par une offre d'énergie verte certifiée décarbonée par notre fournisseur d'énergie et d'autre part le site est équipée de panneaux photovoltaïques produisant jusqu'à 75 kWh d'électricité.”"
"8","8","nc|Notre prestataire hébergeur effectue des sauvegardes quotidiennes (snapshots). Nous travaillons à une stratégie complémentaire de sauvegarde en parallè à une réflexion sur un changement d'hébergeur."
"8","9","nc|Stratégie : Backup & Restore (1 fois par jour). Pas de présence d'un SLA. Le service doit fonctionner en continu, même en dehors des horaires de bureau."
"8","10","nc|Certains traitements comme les sauvegardes de données sont réalisées dans des plages horaires de nuit."
"9","1","c|Nous considérons que les technologies nécessitant une phase d'entraînement sont incohérentes avec nos valeurs de simplicité et de frugalité. Nous imaginons ce que serait un numérique acceptable en 2050. Ces technologies ne nous semblent pas nécessaires pour un service d'e-mail qu'on souhaite résilient."
"9","2","na|le service numérique n'inclut pas de phase d’entraînement"
"9","3","na|le service numérique n'inclut pas de phase d’entraînement"
"9","4","na|le service numérique n'inclut pas de phase d’entraînement"
"9","5","na|le service numérique n'inclut pas de phase d’entraînement"
"9","6","na|le service numérique n'inclut pas de phase d’entraînement"
"9","7","na|le service numérique n'inclut pas de phase d’inférence"
